city,year,car_numbers,car_speed,school_numbers,stations,parks,total_accidents,child_accidents,schoolzone_accidents,child_population,total_population,city_tax,density,wedding
중구,2019,51736,19.6,12,23,73,1184,6,0.001,9383,126171,831365,13704,722
중랑구,2019,112723,23.5,23,8,101,1620,29,2,32314,397015,29167,21736,2031
강남구,2020,236216,25.0,33,21,162,3752,19,1,53638,539231,1317569,13773,2046
강동구,2020,149866,23.0,28,13,125,1268,17,5,46335,459970,99745,18869,2433
강북구,2020,75679,21.7,14,3,84,1087,9,1,21616,308055,23535,13202,1041
강서구,2020,205054,23.6,35,9,175,1575,14,3,52112,580185,143479,14140,3233
관악구,2020,119393,25.5,22,4,113,1444,13,2,29828,495060,56941,17241,2529
광진구,2020,98883,25.2,22,11,63,869,11,2,26648,346682,75468,21105,1661
구로구,2020,145267,23.3,26,7,108,1325,16,3,37064,404408,111685,21496,2063
금천구,2020,88395,23.6,18,1,55,810,7,0.001,16427,231733,121801,19035,1285
노원구,2020,152729,23.6,42,13,188,1462,11,0.001,47147,523037,48330,14872,1961
도봉구,2020,95839,21.5,23,3,80,741,9,1,25589,325257,27577,15852,1187
동대문구,2020,98030,24.1,21,6,96,1448,8,2,27365,342837,59508,25114,1524
동작구,2020,105588,26.8,21,12,86,1307,6,1,32424,391220,73671,24555,1906
마포구,2020,119389,24.9,22,16,143,1272,5,0.001,32999,371890,189341,16011,1929
서대문구,2020,89496,24.0,19,5,123,928,13,2,26625,312173,78626,18322,1260
서초구,2020,181053,26.8,24,12,181,2250,9,3,47725,425126,671136,9132,1861
성동구,2020,106156,25.4,21,14,87,1119,4,1,25835,293556,129927,17822,1573
성북구,2020,120269,24.5,29,9,135,1275,14,2,38972,437153,80520,18190,1672
송파구,2020,245833,24.1,40,28,173,2595,24,0.001,67969,667960,363480,19896,3220
양천구,2020,151449,25.2,30,5,123,1344,14,1,45976,454251,98960,26301,1637
영등포구,2020,146171,23.7,23,11,109,2208,14,3,32704,379480,649609,16595,2421
용산구,2020,78995,27.1,15,10,108,890,8,1,17722,230040,296227,11188,1175
은평구,2020,132198,21.7,31,13,139,953,12,1,40256,479835,46686,16292,2061
종로구,2020,50267,23.6,13,15,105,903,2,0.001,10514,149384,464908,6649,565
중구,2020,51126,21.4,12,23,75,955,7,1,8659,125240,853522,13517,653
중랑구,2020,114020,23.1,23,8,102,1447,9,1,30389,394702,32233,21603,1850
강남구,2021,239643,23.7,33,21,164,3820,25,3,51721,533042,1613511,13616,1680
강동구,2021,152178,22.4,29,14,129,1047,15,1,46038,462664,123870,18970,1892
강북구,2021,75337,20.8,14,3,84,1017,9,2,19875,299182,26884,12820,891
강서구,2021,205058,22.7,35,9,173,1501,22,2,49126,574315,173635,13986,2669
관악구,2021,118082,24.6,22,4,134,1419,7,1,27020,485699,65336,16891,2110
광진구,2021,98371,23.8,22,11,68,922,19,3,24594,339996,98852,20666,1399
구로구,2021,145874,22.3,26,7,108,1350,15,4,34635,396754,124758,20933,1671
금천구,2021,90169,22.2,18,1,55,827,8,0.001,15486,230811,126555,18808,1061
노원구,2021,152285,22.7,42,13,190,1413,19,3,43819,510956,56176,14530,1765
도봉구,2021,95631,20.8,23,3,80,591,9,2,23697,317366,34970,15465,963
동대문구,2021,98466,22.9,21,6,92,1390,12,2,26014,337400,78999,24762,1228
동작구,2021,106229,25.3,21,12,86,1148,17,0.001,30709,385483,99427,24113,1568
마포구,2021,121364,23.7,22,16,144,1102,6,1,31479,368905,211289,15878,1578
서대문구,2021,89199,23.2,19,5,124,930,11,0.001,25229,304819,90549,17908,1042
서초구,2021,177133,24.9,24,12,179,2118,15,1,45280,412279,829116,8858,1469
성동구,2021,107564,23.8,21,14,88,1057,9,3,24434,285990,169117,17359,1272
성북구,2021,121073,23.1,29,9,122,1285,15,2,37470,430528,102969,17909,1471
송파구,2021,246858,22.9,40,28,174,2607,16,3,65652,658338,432999,19599,2574
양천구,2021,151338,23.2,30,5,123,1305,24,5,43445,447302,116089,25882,1359
영등포구,2021,146095,22.9,23,11,108,2178,17,1,31640,376837,793979,16331,2079
용산구,2021,79740,26.1,15,10,108,1014,2,0.001,16745,222953,325868,10852,995
은평구,2021,133175,20.9,30,13,136,867,20,2,37955,473307,56870,16061,1590
종로구,2021,50348,22.6,13,15,104,778,2,1,9826,144683,601585,6431,478
중구,2021,61158,20.7,12,23,76,854,5,1,8088,122499,1036419,13231,590
중랑구,2021,114375,21.9,23,8,109,1373,10,2,28394,387350,37818,21188,1618
강남구,2022,248320,23.5,33,21,165,3709,43,6,50012,529102,1996875,13522,1666
강동구,2022,153186,22.5,29,14,129,1151,19,1,44713,460067,142989,18871,1645
강북구,2022,75180,20.3,14,3,87,1044,20,4,18388,293660,24266,12614,838
강서구,2022,207536,22.3,35,9,173,1606,23,4,46600,569166,225133,13862,2614
관악구,2022,118615,24.9,22,4,135,1172,8,2,25283,486752,60223,16951,1981
광진구,2022,98535,23.8,22,11,68,708,13,3,23361,337416,95474,20586,1317
구로구,2022,148659,22.6,26,7,116,1274,22,4,33090,395315,173704,20794,1562
금천구,2022,91676,22.7,18,1,55,844,10,1,14637,229642,141826,18649,1149
노원구,2022,152529,22.3,42,13,187,1384,18,2,41339,503734,55878,14335,1748
도봉구,2022,95690,21.2,23,3,80,522,8,0.001,36313,311694,33167,15205,940
동대문구,2022,99447,22.6,21,6,92,1534,15,3,25303,336644,73241,24873,1201
동작구,2022,106037,25.5,21,12,86,1217,12,0.001,29170,380596,90364,23870,1481
마포구,2022,122018,23.7,22,16,144,1065,11,2,29737,364638,255486,15745,1520
서대문구,2022,90932,23.2,19,5,124,974,18,3,24975,306337,89397,18129,1051
